moment             ,fa20,fp20,fa4,fp4,fa5,fp5,c20,cmb1,cmb2,f1,f2,f3,f4,f5,f6,f7,f8,c4,c5,eov4,eov5,power
2008-02-05 09:08:02, 790, 500,730,350,730,350,  1,   1,   1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,   1,   1,    1
2008-02-05 09:08:04,   0,   0,  0,  0,  0,  0,  1,   1,   1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,   1,   1,    1
2008-02-05 09:08:06,   0,   0,  0,  0,  0,  0,  1,   1,   1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,   1,   1,    1
2008-02-05 09:08:08,   0,   0,  0,  0,  0,  0,  1,   1,   1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,   1,   1,    1
2008-02-05 09:08:10,   0,   0,  0,  0,  0,  0,  1,   1,   1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,   1,   1,    1
2008-02-05 09:08:12,   0,   0,  0,  0,  0,  0,  1,   1,   1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,   1,   1,    1
2008-02-05 09:08:14,   0,   0,  0,  0,  0,  0,  1,   1,   1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,   1,   1,    1
2008-02-05 09:08:16,   0,   0,  0,  0,  0,  0,  1,   1,   1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,   1,   1,    1
2008-02-05 09:08:18,   0,   0,  0,  0,  0,  0,  1,   1,   1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,   1,   1,    1
2008-02-05 09:08:20,   0,   0,  0,  0,  0,  0,  1,   1,   1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,   1,   1,    1
