moment             ,fa20,fp20,fa4,fp4,fa5,fp5,c20,cmb1,cmb2,f1,f2,f3,f4,f5,f6,f7,f8,c4,c5,eov4,eov5,power
2007-10-16 09:29:26, 790, 500,730,350,730,350,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-16 09:29:28,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-16 09:29:30,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-16 09:29:32,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-16 09:29:34,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-16 09:29:36,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-16 09:29:38,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-16 09:29:40,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-16 09:29:42,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-16 09:29:44,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-16 09:29:46,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-16 09:29:48,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
